Product,Cost (USD),Link
ESP32,1.93,https://www.aliexpress.us/item/3256806427933251.html
L298N,1.99,https://www.aliexpress.us/item/3256807823009783.html
TTMotor x4,3.68,https://www.aliexpress.us/item/3256806642211675.html
Bulky Battery,11.91,https://www.aliexpress.us/item/3256805817322174.html
Total,19.51,


﻿Product,Cost (USD),Link
ESP32,1.93,https://www.aliexpress.us/item/3256806427933251.html
L298N,1.99,https://www.aliexpress.us/item/3256807823009783.html
TTMotor x4,3.68,https://www.aliexpress.us/item/3256806642211675.html
Battery Case,1.08,https://www.aliexpress.us/item/3256805817322174.html
Total,8.68,
